prod_xprod,rotulo_cliente,rotulo_ia
LONG SLEEVE KNIT TOP VERMELHO,9,61
DESCON COMP,11,
TAGETES,12,12
QUEBRA PEDRA GR ERVA SECA PARA CHA,12,12
TGG LAMINA TRASEIRO,2,82
OSTRA GRATINAR GR,3,3
VIT TRELOSO CLUBINHO LEITE,4,19
DE CARVAO DE CASCA DE COCO ACONDICIONADOS EM CAIXAS MASTEREMBALADO GRANELCADA CONTENDO SACOL,8,27
POLARAX MORANGO SOLUCAO ML,8,30
OVO VIBRATORIO BULLET IMPORTADO VP OVST VERMELHOUNICO,4,85
PAP XX GAMMY FRUTAS VERMELHAS REV,8,48
ESSENC CRAVO CANELA,9,33
FIBRA TRIGO,10,10
FLOR DO CAMPO,12,12
TULIPA MECAN,2,87
BEIRA RIO OURO ROSADOOURO ROSADO GF,4,64
AHO PORO,4,4
VASO ABOBORA,7,69
EMBALAGENS CONICAS HID MED RUCULA HID,7,39
BRZIFS MELANCIA TOP GOTA PEQUENA,8,8
FLOR LARANJA,8,6
LONG CAQUI,8,61
SALVIA BRANCA INCENSO CASCATA GOLOKA,9,33
SACOS DE PAPEL KRAFT FECULA DE MANDIOCA ARGO FOODS SC KG,11,48
ROT POL SA XMM MANTEIGA ALEMA BARRA SAL,4,4
LARANJA POWERSOLV FF,8,8
EM SINTETICO MRK INDIGONESCAUNB QUINOA,10,64
EUCALIPTO COM SEMENTE,12,12
MORCEGO DIANTEIRO,2,95
NEO CORACAO,2,2
BOLSA DE MA PL MANTEIGA,4,42
SUPORTE TOMATE,7,73
OTAF ROT PP FC COM HORTELA LIMAO GENGIBRE,7,21
CARTAZETES CM QT,8,48
MANGA DEMON SLAYER KIMETSU NO YAIBA,8,49
MILHO FESTA JUNINA,10,95
SUBSTRATO CAROLINA SOIL PADRO DE LITROS GERMINAO DE SEMENTES ROSA DO DESERTO SUCULENTAS MORANGOS HORTA,12,27
QUILO VERAO ESPECIAL LOTE SSUN,2,2
CORACAO,2,39
COMPOSTO DE POLIPROPILENO COM CARGA,4,39
TAMPA PARA DE LEITE VACA TETA VAQUINHA COW COM FURO,4,39
EMBALAGENS CONICAS MED RUCULA HID,7,39
CASTANHA DE CAJU EXCELENCIA GRANULADA LAMINADO PETPET MET PE,8,8
UPTEC ALFACE KG,7,7
PERA MANCA BRANCO,8,22
VACA PARA ABATE,1,1
FIBRA DE TRIGO FINA KG,10,10
ANEIS OVINOS,12,30
PAZZE MOEDOR SAL ROSA COM CHIMICHURRI,15,21
MEMBRANA OSMOSE RESERVA GPD DIAGFARMA,2,84
RABO PEIXE ESCAPE CURTO,3,87
RABO PEIXE ESCAPE CURVOLONGO FAB,3,87
LIQUIFICADOR TOMATE MAZ ROSA,7,85
CRAVO CANELA INCENSO INDIANO TAJ,9,33
TOCA CASA HAMISTER ANAO RUSSO ROEDORES PEQUENO PORTE,12,39
PET CIRURGIC FEMEAS,15,62
TRASEIRO,2,0
NEEDS POTE DOS LEITE,4,39
JM MOD MS CHAPADAO DO SUL ACAMPAMENTO SENIOR INFANTIL DISPONIBILIDADE,4,63
PENDRIVE TOMATE,7,7
KIT COM DESFRALDES MORANGUINHO,8,96
GORDURA BOVINA NC,15,15
HEMOGLOBINA SUINOS EM PO DTFABRICACAO DTVALIDADE,2,2
ANNEAU DE CARRE CHAINE ANCRE LAITON FINITION PERMABRASS PERMAB,2,74
CLARA COXA,2,2
PREVENDA SALMOTERAPIA DR JONATAS LEONIO,3,49
PALITO DE QUEIJO PEROLA MINEIRA KG,4,19
NACIONAL MO,8,8
MOEDOR BR SPICES MIX ESPANHOL PAELLA,9,9
POLYBLEM MILHO PLANT NOTOP PARCIAL BG KG,10,31
BALD MADU PIPOCA VERDE,10,20
OSSO NO ENCARTELADO BACON,2,2
RETALHO,2,0
MORANGA AMARELA,7,7
COCO CAPRYLATECAPRATE DUB ESCOLHA DO RECIPIENTE GR,8,29
CHA BANDANA,9,62
COZINHADOR DE GRAOS ESTAGIOS TONS HORA MARCA TECNAL,12,84
BOVINOS MACHOS,2,1
ETIQ PVC IOGURTE GREGO TRADICIONAL ITAMBE AMCOR MP,4,39
PEPINO CLASSIC CHEF AGR ST ST CXA,7,7
PORTA CONDIMENTOS CEBOLA,7,39
GARRAFA PIMENTA ML,7,20
COB CAQUI,8,8
CASADA TRAICOES SEM VOLTA SEXO ROMANCE TRAICAO AVENTURA EBOOK KINDLE,2,49
BLS OVOS GALINHA PINOS IMP BRANCO GRANDE,4,4
LEI NOVA LEI DE LICITACOESDETALHAMENTO DE TODOS OS ITENS DESTA FATURA LEI NOVA LEI DE LICITACOES,4,49
CAL PRECO IMP PRETO,8,25
STROM XT LARANJA,8,87
BALILA BALILA LINHACA,12,12
SILOTRATO LIOFILIZADO INOCULANTE BASSOPANCOTTE,12,38
PATINHO PEPE UNICA NA,2,95
BLUEBERRY MUFFING YANKEE,8,19
AQUARELA BASE BPZ EM TOM CAST UNICA UN,8,33
LS ROMA PRETO,8,8
OLEO DE NEEM CONCENTRADO NATURAL MARCA VITAPLAN ML,15,15
BACO,2,2
LING BOV GRANEL SAO LUIZ SCKG,2,2
MINERBLOCK MD LOTEVALIDADE,3,
BANDEJA ABERTA OVOS NT,4,48
COELHO CENOURA PAS,7,95
PINHAO SISTEMA TITANIUM,8,84
MINICLASSICOS REI LEAO DA SAVANA EDI LE,8,49
GNB POP UP ROMA COMPOTAS,10,20
ESPETO MODELADOR KAFTA CARNE MOIDA CHURRASCO FORMA ALUMINIO,2,76
BOI COBERTURA,4,2
APLIKS MEDIO ABOBORA,7,39
PINHAO DWE,8,84
BANANA FISH,8,8
FOLHA DE ARROZ QUADRADA GW BC ICMS ST ICMS ST,10,19
VASO KIT XAXIN PALMEIRA PQ FELTRIN UN,12,69
MIUDOS CONGELADOS DE BOVINO RUMEN,2,2
CALICO JOE,3,0
CALCADOS ENERGY BABY TECIDO IOGURTEMULTICOLOR,4,64
DESSORADOR MINAS PADRAO GR,4,4
POTE PARA MANTEIGA AZUL MARSEILLE,4,69
BIOGELIS VOLUMAX,10,30
SAL DE PARRILLA CANTA GALLO PIMENTA NETAO CANTA GALLO UN,15,25
OLEO ESSENCIAL ALIMENTICIO NATURAL TANGERINA GRANCHEF,15,33
PASSAROS ORNAMENTAIS,3,3
APTANUTRI PREMIUM MESES AGR BASE ST VALOR ST,4,4
KIT OVOS DECO PINTADO JAR MC,4,97
OREGANO,7,9
FRANGUET VEGETAL,7,21
ESS LIMAO SICILIANO ONE AROMAT,8,33
MACA RESGATEX SKED ENVELOPE LARANJA,8,90
LARANJA PEQUENA AMARELA,8,8
ALBAR ALBBAX OROA PINHAO OV,8,87
COROA PINHAO BRAS,8,87
ROTULO OREGANO,12,48
BARRIGADA BOVINA,2,2
OUTROSPORQUINHO,3,1
NINHO IDADE ESCOLAR,4,4
REC CAPSULAS CADASTRADA UN,7,30
MULE PIMENTA,7,64
PESSEGO CRISTALINI,8,8
CAMOMILA PO MATRICARIA RECUTITA,9,9
FARINHA DE AMORA KG FAZENDA SAO FRANCISCO KG,11,11
PLACA PARA SEMENTES MULTI COM DUAS FACES COMPLEMENTAR,12,84
GARRA DE BLOQUEIO,12,82
HERBAL PRIME ML,15,30
ESGRILAX SUPOSITORIOS ADULTO GLICERINA MALAVASI,15,30
BOVINO,2,2
FRALDA COM,2,96
HATTA TORRADINHA KG UN,7,19
PIMENTA MISTA CHAO PRETO,7,9
SACARIA PAPELAO SEMENTE INTEGRACAO,12,48
INOCULANTE RHIZOTROP SOJA,12,38
AVELIRA,2,92
PINHA PEQUENA,8,8
VCURTO MANGA BABAO FLOR VERM BOTANIN CONFY,8,61
FRUTAS BANANA PRATA VERDE,8,8
CAPSULA MACRO,9,30
ARABICUM GREEN POD DYNAMO,12,12
BUCHO PORCIONADO BOV CONG,2,2
ROT PP FC CARNE SUINA RESFRIADA,2,2
FACEPROTECTION TUCUNARE AZUL UNICO,3,62
VESTIDOCHIDI SHAYE TERRY MD DR CHIDI,3,61
PIA DACHERI GRANITO ALICANTE BONITO LINDO DACHERI,4,68
SAL ESPECIAL COM ALHO CEBOLA,7,21
KAKI,8,62
APARADOR XX ACS AMEIXA GEBB,8,8
FAVO DE MEL,4,4
REMESSA CM IMPRIMACAO ISENTO,7,49
UPTEC ALFACE KG,7,7
ANDK CAFE,9,9
