prod_xprod,rotulo_cliente,rotulo_ia,capitulo_correto,explicacao
SEBO BOVINO GRANEL,2,2.0,02,IA: Sebo bovino é carne em bruto.
RT GR EE - DIANTEIRO,2,2.0,2,CLIENTE: Produto de carne.
ASA DELTA SOL P,2,88.0,88.0,IA: Produto de lazer/esporte
CHATAO CORACAO 27X25,2,,44,CLIENTE | Produto de madeira
"LAMINADO ESPUMA 0,0000 X 10,0000 X 2,0000 X 0,0200",2,39.0,39.0,IA: Material plástico
"RESER 000421 DEFLETO  R AR, OV: 4558620",2,87.0,87,IA: Defletor de ar indica veículo
CORTES,2,2.0,02,IA: Cortes se encaixam na definição de carnes.
PEIXINHO FESTA JUNINA,2,17.0,17.0,IA: Peixinho é produto alimentício
SACO PET/PE 230X315X100 HAMB BOV FRALDA 5X180G MATURATTA,2,2.0,2,CLIENTE: Produto embalado para consumo.
50435 TULIPA,2,6.0,02,CLIENTE: Tulipa é carne.
PAD P/RECORTE EM PINTURA,2,39.0,39.0,IA: Pad para pintura é artigo de plástico.
ADESIVO BOPP METALIZADO LAMINADO 120 X 90 MM ORGANICO CONGELADO COXAO MOLE KORIN 53363,2,39.0,39,IA: Adesivo é classificado no capítulo 39
Pà CORAçãO,2,2.0,2,IA: Produto derivado de carne.
BARRIGA,2,2.0,02,IA: Barriga é parte de carne
SEARA MOELA PCT KG,2,2.0,02,IA: Produto derivado de carne.
"MACHOS BOVINOS P.O. C269, C526, C406",2,2.0,02,IA: Machos bovinos são carnes.
FLAT BIANCA NATURAL TAMANHO:36,2,64.0,64.0,IA: Produto têxtil
BARRIGADA BOVINA - 70.0000,2,2.0,02,IA: Barrigada bovina é carne.
BARRIGADA BOVINA - 190.0000,2,2.0,02,IA: Barrigada bovina é carne.
ESPETO MODELADOR KAFTA CARNE MOIDA CHURRASCO FORMA ALUMINIO,2,76.0,76,IA: Espetinho de alumínio para churrasco
TULIPA,2,6.0,06,"IA: Tulipa é flor, classificada em capítulo 6."
BUCHO KG BRANQUEADO JBS MIUDO BOVINO KG,2,2.0,02,IA: Produto de carne bovina.
ANNEAU DE CARRE CHAINE D ANCRE LAITON FINITION PERMABRASS 00 PERMAB...,2,74.0,71,IA: Produto de metal para joalheria.
BARRIGADA BOVINA - 100.0000,2,2.0,02,IA: Barrigada bovina é carne.
"NAKAT NB11001 BUCHAE  IXO TRASEIRO,OV: 301  9514",2,87.0,87,IA: Produto parece ser peça de veículo
DIAFRAGMA V-20    DES .030-0180,2,40.0,40.0,IA:  Produto de borracha
FRALDA C/4,2,96.0,96,IA: Produto de higiene pessoal.
"SUPLEMENTO GRANELEIRO, COM ARCOS E TOMBADOR TRASEIRO.",2,87.0,87.0,IA: Produto se encaixa na descrição de veículos
BR RES FLOR,2,6.0,02,CLIENTE: Produto indica carne.
CARCACA NOVA VE IMP R063-3,2,87.0,87.0,IA: Produto se encaixa na descrição de peças para veículos.
1PELE FRESCA DE BOVINOS-COURO - 299.0000,2,41.0,02,CLIENTE: Pele fresca é carne.
BARRIGADA BOVINA - 171.0000,2,2.0,02,IA: Barrigada bovina é carne.
MPD01003 - PELE BOVINA DE PRIMEIRA CLASS. (186 PECAS),2,2.0,02,CLIENTE: Pele bovina é classificada como carne.
CARTUCHO BACON FATIAS GOURMET COD. 509122-V04 FSC OC: 3055713 NRO ITEM: 2,2,2.0,2,IA: Cartucho de bacon fatiado é carne.
ASA COLORIDA,2,0.0,34,IA | ASA COLORIDA indica produto de limpeza
"BUCHO PORCIONADO BOV CONG - 223,00",2,2.0,02,IA: Produto de carne bovina.
PLASMA SUINO EM PO  78         N202752 DT.FABRICACAO :03/07/2020 DT.VALIDADE : 04/03/2022,2,2.0,02,IA: Plasma suino é carne processada
3282- SEGUNDA PELE,2,61.0,61.0,IA: Produto de vestuário
BARRIGADA BOVINA - 92.0000,2,2.0,02,IA: Barrigada bovina é carne.
TULIPA,2,6.0,06,"IA: Tulipa é flor, classificada em capítulo 6."
RETALHO MISTO 25 KG RETALHO MISTO 25 KG,2,0.0,23,<IA | CLIENTE | INCONCLUSIVO>: Retalho misto pode ser resíduo
FRALDA COM 4,2,96.0,96,IA: Fraldas são artigos de higiene
BOIBRAS - ETIQ 60X300 GARRAO,2,48.0,48,IA: Etiquetas são produtos de papelaria.
BARRIGADA BOVINA - 102.0000,2,2.0,02,IA: Barrigada bovina é carne.
BOVINOS MACHOS 0 A 12 M,2,1.0,02,IA: BOVINOS MACHOS são carnes.
ESOFAGO DE BOVINOS - 26.0000,2,2.0,02,IA: ESOFAGO É CARNE COMESTÍVEL
TULIPA L/E 206/C3 (22DTS) MECAN,2,87.0,87.0,IA: Produto mecânico.
SCS PLAST NP LINGUICA DE CARNE SUINA APIMENTADA 30.00 X 50.00 L:661486,2,2.0,2,IA: Produto de carne suína.
TRASEIRO - 681X553,2,0.0,68,IA | Produto de pedra
KIT 3UN ASA 195X1200MM,2,73.0,73,IA: Kit de asas indica estrutura metálica
TLP0302-TULIPA,2,87.0,06,IA | Produto sugere flor
"ESPUMA D28 0,0000 X 10,0000 X 2,0000 X 0,0020",2,39.0,39,IA | ESPUMA indica produto plástico
ET 85X130MM PPA PAPADA CONGELADA DE SUINO,2,2.0,02,IA: Produto de carne suína comestível.
REFRIG CONTINENTAL T,2,84.0,84,IA: Produto eletrodoméstico
FLAT ASA DELTA TAXA FIVELA MARYS COR:OURO;TAMANHO:37,2,64.0,64,IA: Produto calçado
SANGRIA,2,22.0,22,CLIENTE: Sangria é bebida alcoólica.
MESA MONOPE PALETA LAMINADA PARA SALA 38X40CM - MEL,2,94.0,94.0,IA: Mesa é móvel
PLASMA SUINO EM PO  78         N204023 DT.FABRICACAO :29/09/2020 DT.VALIDADE : 29/09/2022,2,2.0,02,IA: Plasma suino é carne processada
"BOVINO FEMEA 12 A 24M - 3,588.636",2,2.0,02,IA: Produto é carne bovina.
33440 ASA DIREITA CPLT /////,2,88.0,82,IA |  Produto parece ser ferramenta
RASCHIAVETRO ESTERNO IN CINTU 05 1243905,2,87.0,87.0,IA: Raschiavetro é ferramenta
MEU POEMA ABANA O RABO,2,49.0,49.0,IA: Produto cultural
MICANGA ENTREMEIO 100 UND CORACAO ESTRELA DESENHOS FLORES INFANTIL BIJUTERIA MODELO:ACH COLOR CORACAO PRETO,2,71.0,71,IA: Bijuteria infantil
PONTA CAUTERIO AGULHA,2,90.0,90,IA: Equipamento médico
PELE FRESCA DE BOVINO - 255.0000,2,41.0,02,CLIENTE: Pele fresca é carne.
BUCHO KG,2,2.0,2,IA: Bucho é parte de animal
PELE BOVINA DE PRIMEIRA CLASS. (337 PECAS),2,2.0,02,CLIENTE: Pele bovina é classificada como carne.
BARRIGADA BOVINA - 154.0000,2,2.0,02,IA: Barrigada bovina é carne.
ASA DELTA,2,88.0,88.0,IA: Produto de lazer
PELE BOVINA DE PRIMEIRA CLASS ANGUS (160 PECAS),2,2.0,02,IA: Pele bovina é classificada como carne.
MUND HP-H-(9.0000 ),2,0.0,85,IA: Produto eletrônico
ONEADLTMINIPEQC/FRGO&CARNEDEVDD1X6KGBR,2,2.0,02,IA: Produto contém carne.
MEMBRANA DIAFRAGMA GM SONIC,2,40.0,40,IA: Membrana de diafragma indica peça para alto-falante
BARRIGADA BOVINA - 153.0000,2,2.0,02,IA: Barrigada bovina é carne.
HEMOGLOBINA SUINOS EM PO       N203451 DT.FABRICACAO :21/08/2020 DT.VALIDADE : 20/08/2022,2,2.0,02,IA: Hemoglobina de origem animal
"LINGUA DO BRASIL AMANHA E OUTROS MISTERIOS, (A)",2,49.0,49,IA: Livro
NEO CORACAO - 17/18,2,2.0,2,IA: Produto de carne.
MESA MONOPE PALETA LAMINADA PARA SALA 48X50CM - MEL,2,94.0,94.0,IA: Mesa é móvel
BARRIGADA BOVINA - 148.0000,2,2.0,02,IA: Barrigada bovina é carne.
MPD01003 - PELE BOVINA DE PRIMEIRA CLASS ANGUS (393 PECAS),2,2.0,02,CLIENTE: Pele bovina é carne.
COURO SALGADO - 64.0000,2,41.0,41,IA: Couro salgado é produto de curtimento.
SANGRIA FREIO,2,87.0,87.0,IA: SANGRIA FREIO é peça de veículo
"093 CX- LING. BOV. GRANEL SAO LUIZ SC.5,130KG.",2,2.0,02,IA: Produto de carne bovina.
ROT MEIO ASA FGO KG ASSADA,2,2.0,2,IA: Produto assado indica carne.
TRAQUEIA DE BOVINOS - 12.0000,2,2.0,02,IA: Traqueia é parte de carne bovina
ACH TIA ASA MORC,2,2.0,2,IA: Produto indica carne.
ML  SLIM C/RECORTE,2,0.0,48,CLIENTE: Produto de papel
MOELA FRANGO SEARA 1KG BAND,2,2.0,02,IA: Produto de carne avícola.
AL1263-TULIPA -,2,,06,IA | Produto com descrição que indica flor
PASTA LARGA 335X250X55MM C X L X DORSO,2,48.0,48,IA: Pasta de papel
CARCACA PRINCIPAL AR DIRETO RED,2,84.0,84,IA: Produto mecânico.
9998 CLARA 44 1/2 COXA,2,2.0,02,IA: Produto de carne
BOVINO MACHO ACIMA 36M - 462.500,2,2.0,02,IA: Produto é carne bovina.
HEMOGLOBINA SUINOS EM PO       N203931 DT.FABRICACAO :23/09/2020 DT.VALIDADE : 23/09/2022,2,2.0,02,IA: Hemoglobina de origem animal
O PATINHO PEPE UNICA NA,2,95.0,95,IA: Patinho é brinquedo
MOELA DE FRANGO PT 1KG PACOTE 1KG PERDIGAO UN,2,2.0,02,IA: Produto é carne de frango.
MAR24482 / 400800102029 - ASA,2,0.0,2,CLIENTE: ASA indica carne.
1170 - RECORTE BORBOLETA PRIMAVERA P 23X19,2,49.0,49,IA: Recorte de papel
BANDEJA DE CARNE G,2,2.0,02,IA: Produto classificado como carne.
TRIO 1RUC/AGR/ALF CRESP HIDROP EMB,2,12.0,12.0,IA: Produto parece ser carne processada
POLIDEXTROSE ST LOTE(S): 2039222 (800.0000 KG); 2308022 - VAL: 01 08 2025 (625.0000 KG); 2309222 - VAL: 21 09 2026 (75.0,2,17.0,17,IA: Polidextose é um carboidrato.
LING. PEROLA 1KG SUINA FINA APIMEN,2,2.0,02,IA: Produto de carne suína.
26430-7 ROT.1 PP FC CB25 A138 60X230MM-1C CARNE SUINA RESFRIADA,2,2.0,02,IA: Produto de carne suína.
TUVIRA VIVA,3,3.0,3,IA: TUVIRA VIVA é um peixe
CAM ML PECEGO CLARA TALIENK 40,3,61.0,61,IA: Produto têxtil
PRE-VENDA SALMOTERAPIA  DR. JONATAS LEONIO,3,49.0,3,CLIENTE: Produto relacionado a peixes
OSTRA P/GRATINAR 400 GR,3,3.0,03,IA: Ostra é um molusco
HENLEY PREM BELMOND ML PRETO - M,3,61.0,61,IA: Produto de vestuário.
RABO PEIXE P/ ESCAPE 4.1/2 (CURTO/440MM),3,87.0,87.0,IA: Parte de veículo
NELORE PINTADO PO  PQS 306 MACHO  19M,3,1.0,01,CLIENTE: Animal vivo
PASSAROS ORNAMENTAIS,3,3.0,04,CLIENTE: Aves são animais
CATIVEIRO NUCA MAIS,3,30.0,30,CLIENTE: Produto se encaixa na descrição do capítulo
FACEPROTECTION - TUCUNARE AZUL - UNICO,3,62.0,62,IA: Produto de proteção facial
PEIXE DOURADO,3,3.0,3,IA: Peixe dourado é um peixe.
HOTPANT - ROSA - GG,3,61.0,61,IA: Produto de vestuário
RABO PEIXE P/ESCAPE 4.1/2 (CURVO/LONGO 1360MM)(FAB,3,87.0,87.0,IA: Produto de escape para embarcações.
VESTIDOCHIDI SHAYE TERRY MD DR CHIDI M,3,61.0,61,IA: Produto de vestuário.
POLVO NORMAL,3,3.0,3,IA: Polvo é um molusco
RABO PEIXE P/ESCAPE 5 X 4.1/2 (1600MMX535MM)(BEPO),3,87.0,87.0,IA: Parte para embarcação
PEIXE BETA (NAO SERA FEITO TROCA CASO MORRA),3,3.0,03,IA: Peixe vivo
"BLOCO, QUADRADO OU FILE - SUCUPIRA - PTERODON EMARGINATUS - 0,15 X 0,15 X 3,50 M",3,44.0,44,IA: Bloco de madeira
"GENESEAS - FILE DE TILAPIA - BEM FRESCO - 400 G - 22X27X0,16 - PET/PE - SACO PET / NYLON-POLI - IMPRESSO-OP:08022401001",3,3.0,03,IA: Produto de pescado
ASSA PEIXE 30G,3,12.0,16,"IA | Produto processado, similar a conservas"
CAM I-21103 SL M/L,3,61.0,61.0,IA: Produto se encaixa na descrição do capítulo
POLVO HUMOR,3,95.0,3,CLIENTE: Polvo é um molusco
650/85R38 FI CAM F: DOT:0911,3,40.0,40.0,IA: Produto é pneu para veículo
PEIXE DE APERTAR,3,95.0,3,CLIENTE: Produto se encaixa na descrição do capítulo.
MARESSA - SALMãO - M,3,3.0,3,IA: Salmão é um peixe
CAMARAO NELSON NAKAMURA NAKAMARAO 9CM - 5 UNIDADES COR - ANGLERBRASIL:COR 803 - DOURADO,3,95.0,03,IA | Produto é camarão
PORQUINHO,3,1.0,05,CLIENTE: Porquinho é um produto de origem animal.
CAM L LACO BOUQUET PRETO G,3,61.0,61,IA: Produto têxtil
CAM M ML OUTLAST RIO I20 G,3,61.0,61,IA: Produto de vestuário
PEIXE NYLON AMOROSO C/ CATNIP,3,95.0,3,CLIENTE: Produto é um peixe.
O PEIXE E O LEAO (EBOOK KINDLE),3,49.0,49,IA: Ebook é produto cultural.
OUTROS/PORQUINHO,3,1.0,05,CLIENTE: Porquinho é um produto de origem animal
LAMBARI ARTICULADO,3,95.0,95,IA: Articulado sugere brinquedo
CEVICHE ORIENTAL PEIXE BRANCO 237 G,3,3.0,3,IA: Produto à base de peixe.
LAGOSTA FECHO - DOURADA,3,3.0,3,IA: Lagosta é crustáceo.
POLVO DO HUMOR GRANDE,3,95.0,3,CLIENTE: Polvo é um molusco.
CAM PASSA FACIL REG MC,3,61.0,61.0,IA: Produto de cama e banho
PEROLA N10 SALMAO (204) 10G,3,71.0,03,CLIENTE: Produto é peixe.
CAM 18.4X34 IMPORTADA,3,40.0,40.0,IA: Produto se encaixa na descrição de pneus.
GUTA PERCHA U-FILE F1-F3 C/60UN,3,90.0,90.0,IA: Guta percha indica ferramenta.
TAM - SAFEBAG GRATIS ROSA,3,42.0,42,IA: Produto embalado indica artigo de papelaria
CAMISATA ROSA COM FAIXA P,3,61.0,61,IA: Camiseta é vestuário.
MINERBLOCK MD                         LOTE/VALIDADE: M00214/23G20240713,3,,26,IA | MINERBLOCK sugere minério
ROTULO MOD SARDINHA - ATUM,3,48.0,48,"IA: Rótulo é embalgem, classificado em Capítulo 48"
"JC200 MARTINAIR MD-11F PH-MCT """"""""""""""""40 YEARS IN THE AIR""""""""""""""""",3,88.0,88,IA: Modelo de avião
CAM PASSA FACIL 500 AZUL MARINHO 04,3,61.0,61.0,IA: Produto têxtil
KRAKEN 8/8,3,0.0,3,CLIENTE: Nome sugere produto do mar
BOIA CAMARAO BR,3,95.0,84,IA |  Boia indica brinquedo inflável
CRIADO ROMA JACARANDA,3,94.0,94.0,IA: Produto de madeira esculpida.
CALICO JOE,3,0.0,58,CLIENTE: Tecido
BLUE SKY INTENSE,3,,3,CLIENTE: Nome sugere produto do mar
TRAIRA CINZA 02 - 12,3,3.0,3,IA: Traira é peixe
P.T. INTERF. JULLY EXTRA C/1000 BELL,3,0.0,85,IA: Interface de telecomunicações
RABO PEIXE P/ESCAPE 3.1/2  (CURVO/415MM) (BEPO),3,87.0,87.0,IA: Parte para embarcação
CARPA COURO FAKE,3,39.0,39,IA: Produto de material sintético.
POLVO 2EM1 PEL,3,95.0,3,CLIENTE: Produto é um polvo.
PEIXE PALHACO  AU PET,3,3.0,3,IA: Peixe é classificado no capítulo 3.
ISCA CAMARAO AMARELO C/5 TL05-1164HA-0052,3,95.0,03,IA | Produto é camarão
BUFFET MODELLO HG BCO/CZA 210X45X77H,3,94.0,94.0,IA: Móvel para buffet
B MANOELA DV DOURADO U,3,71.0,71.0,IA: Produto de ourivesaria
CAM-TAMBAQUI-VERDE TAMANHO:GG,3,3.0,03,IA: Produto derivado de peixe
MASSA PRONTA PARA PESCA TILAPIA-PIAU-PACU-CARPA KIT C/ 12,3,21.0,21.0,IA: Massa pronta para pesca é alimento
PIPA CAMARAO GRANDE 60CM C/25,3,95.0,95,IA: Brinquedo de pipa
BIOXAN COMPOSTO VALLEE 500 ML,4,30.0,30,IA: Produto químico para uso agrícola
"FLORES SECA 16,5CM",4,6.0,06,IA: Flores secas são produtos vegetais.
"NATURAL COLORS MEL +0,75-CU6638",4,32.0,04,CLIENTE: Mel natural está no capítulo 4
YOPRO 25G SHAK CHOC250,4,4.0,21,IA: Produto lácteo em forma de shake
CX.PAP. 380X255X180 CAIXA MEL 500 G,4,48.0,4,IA | Mel natural está no Capítulo 4
DEDO DE MOCA 60ML,4,7.0,07,IA: Dedos de moca são doces
BEIRA RIO 8395 225 28992 34/39    37  OURO ROSADO/OURO ROSADO  GF,4,64.0,4,CLIENTE: Produto alimentício
BOMBAY EXTRATO NATURAL DE BAUNILHA 30ML,4,13.0,13.0,IA: Extratos naturais são classificados em capítulo 13
GARRA DA CLASSIIFCADORA DE OVOS USADA (SUCATA),4,84.0,84,IA: Parte da máquina para classificação
FORMA QUEIJEIRA RICOTA QUEIJO MINAS FRESCAL 1 KG INJESUL,4,39.0,04,CLIENTE: Produto lácteo
"055 APTANUTRI 3 PREMIUM 12 A 36 MESES.01X800 %AGR:  22,7900 BASE ST: ********185,49 VALOR ST: **********5,85",4,4.0,04,IA: Produto lácteo para consumo infantil.
CX.C.03 QUEIJO PALOMINO 100X50 GR - 420X320X180,4,4.0,04,IA: Queijo é um produto lácteo.
IORGUT NATURAL UN,4,4.0,04,IA: Iogurte é um produto lácteo.
BLS 12 OVOS GALINHA PINOS CX - C IMP BRANCO GRANDE,4,4.0,04,IA: Ovos são classificados no Capítulo 4.
"055 APTANUTRI 3 PREMIUM 12 A 36 MESES.01X800 %AGR:  22,7900 BASE ST: ******1.106,21 VALOR ST: *********34,91",4,4.0,04,IA: Produto lácteo para consumo infantil
PSEUDOCHROMIS FRIDMANI@ PSEUDOCHROMIS FRIDMANI,4,3.0,4,CLIENTE: Peixes são classificados no capítulo 3
ADESIVOS - MANTEIGA,4,35.0,35,IA: Adesivos são produtos químicos.
FORMULA NATURAL 500G,4,21.0,21.0,IA: Formula natural indica produto alimentício
KIT ESCOVA MANTEIGA DE COCO 900ML,4,33.0,33.0,IA: Produto cosmético
NEEDS POTE DOS P/LEITE,4,39.0,39.0,IA: Pote é artigo de plástico
PIA DACHERI 1.20 GRANITO ALICANTE 0 BONITO LINDO DACHERI,4,68.0,68.0,IA: Pia é item de construção
FORMULA C/COMPLEXO B (SEM 10UN;,4,30.0,30,IA: Fórmula contém complexo B
"KIT COM 7 PCS PARA FRIOS, QUEIJOS MISTO (PREMIUM 57E + RED. 25CM + CORACAO M + 4  HAMB. 48B))",4,82.0,16,IA | KIT CONTÉM CARNES PROCESSADAS
COD.301117 QJO.QUATA COALHO EM ESPETO ORIGINAL 7 UNID. 190X265 L LAMINADO (BOPA+PE / SIF 3830 / V00),4,4.0,4,CLIENTE: Produto alimentício
CREAN CHESE PHILADELFIA,4,4.0,04,IA: Queijo é um produto lácteo.
"REQUEIJAO PARMATO CREMOSO 1,5KG 180X430 P LAMINADO (PET+PE PIG)",4,4.0,04,IA: Produto lácteo cremoso
"BOI S/ COBERTURA - 1,718.000",4,2.0,02,IA: Boi é carne bovina.
KIT MAPPYNG BOLSA HAPPY CORES VERMELHO U,4,42.0,42,IA: KIT MAPPYNG indica brinquedo
OVO CAIPIRA BRANCO FALSO BRINCADEIRA GALINHEIRO DE PLASTICO INDEZ GALINHA ENFEITE-48,4,95.0,95,IA: Brinquedo de plástico
KIT QUEIJO,4,4.0,04,IA: KIT QUEIJO indica produto lácteo
"CX DM3 TMP BCO/FDO PDO 53X40X5,5CM C/ 10 UND**",4,48.0,48,"IA: Produto embalado, similar a embalagens"
AMOSTRA ALIBRA LEITE EM PO 2KG 528X355 (PET+PET MET+PE),4,4.0,04,IA: Produto lácteo em pó
NINHO GIRASSOL,4,12.0,12.0,IA: NINHO GIRASSOL é um produto de decoração.
ETQ BOPP TRANSP IOG MORANGO 500G,4,39.0,39,IA: Etiqueta é produto plástico
NATUROVITA COMPLEXO VITA LEITE - SACO 5KG,4,21.0,21.0,IA: Produto à base de leite em pó.
NANLAC COMF 1A3 F 800G,4,4.0,04,IA: Produto lácteo em pó
QJ-309 TV ROLAMENTO DE ROLO CILINDRICO  FAG,4,84.0,84,IA: Produto mecânico para rolamento
SORTIDO COMPOSTO POR DESIDRATADOR DO CON DD0404,4,84.0,84,IA: Desidratador é equipamento
BEIJO GREGO,4,21.0,21.0,IA: BEIJO GREGO é um produto lácteo
COMITIVA PANTANEIRA GRANDE E,4,,4,CLIENTE: Produto comestível de origem animal
BALISSIMA LEITE 60X60 GR/(2CX),4,4.0,4,IA: Produto lácteo
FORMULA INFANTIL NANLAC COMFOR 1 A 3 ANOS DE 800G,4,4.0,1901,IA: Fórmula infantil é produto alimentício
OVO VIBRATORIO BULLET IMPORTADO VP (OV001-ST243) -VERMELHO-UNICO,4,85.0,96,"IA | Produto erótico, não alimentício"
GALAO DE LEITE,4,4.0,04,IA: Produto típico do capítulo 4
CAIXA PAPELÃO LISA MANTEIGA 405X305X115MM,4,48.0,48,IA: Caixa de papelão para manteiga
"REFIL SACHE C/ERVAS, ZIP, DIVERSAS",4,9.0,9.0,IA: Refil para ervas indica produto aromatizante
NEEDS TIRA LEITE,4,84.0,84,IA: NEEDS é um produto para extrair leite
GRANEL FONTE MANTEIGA BRANCO,4,4.0,4,IA: Manteiga é um produto lácteo.
TABOAS FUNCIONAL GR,4,46.0,46,IA: Taboas funcional sugerem produto de madeira
FLOR DE SAL - 180G,4,25.0,21,IA | FLOR DE SAL É MINERAL
BOV FEMEA PO REGISTRADO DE 25 A 36 MESES,4,4.0,01,IA: Animal vivo para reprodução
QUASSIA SEP SACO 10KG,4,12.0,12.0,IA: Quassia é planta medicinal
"BONE TRUE FARME AZUL ROYAL TROCA/DEVOL. REF. ITEM     1, DA NF        603, SERIE NFCE , U.N. 002 829",4,65.0,4,CLIENTE: Produto alimentício
FLEXIVEL1/2X800-MG18XMG18,4,73.0,73,IA: Produto metálico
DISPLAY D CHAO NINHO MOLICO SOLUCAO ZERO LACTOSE,4,48.0,4,CLIENTE: Produto contém leite.
INC. CLOVE TRINTA ERVAS CX 25 PCT 7 VAR. P/ PCT LOTE BRZ088,4,9.0,09,"IA: Produto condimentado, similar a especiarias"
APTANUTRI 3 C800GRS,4,4.0,4,IA: Produto à base de leite.
TUBETES 180 ML JKS 126 UNIDADES-910010355 2 BANDEJAS 63 CELULAS JKS 910010230,4,39.0,39.0,IA: Tubetes são embalagens plásticas
BELICHE MEL ESPECIAL,4,94.0,04,CLIENTE: Produto classificado como mel natural
KIT QUEIJO QUATRO PCS WC409679,4,82.0,04,CLIENTE: Produto lácteo
CARTELA C/ 66 ETIQUETA NESTON IORGUTE LIQ.MACA BANANA MD2,4,48.0,4,CLIENTE: Produto alimentício
TRUPONOL OST LIQ.(NOCIVO),4,38.0,38.0,IA: Produto químico líquido
PETIT GATEUA,4,19.0,19.0,IA: Petit gateau é um produto de confeitaria.
"VERDE MEL PRIMER CX 3,6LTS",4,32.0,32.0,IA: Primer é produto químico
FD MAN PDO S/IMP 430X305X125,4,4.0,4,CLIENTE: Descrição indica produto lácteo
PORTA REQUEIJAO FOLHA,4,39.0,4,CLIENTE: Porta é item do capítulo 4
JACK DE MEL,4,22.0,04,CLIENTE: Mel natural está no capítulo 4
PALHA ITALIANA NINHO,4,17.0,17.0,IA: Palha italiana é um produto alimentício
"055 APTANUTRI 3 PREMIUM 12 A 36 MESES.01X800 %AGR:  22,7900 BASE ST: ********184,33 VALOR ST: **********5,82",4,4.0,04,IA: Produto lácteo para consumo infantil
TRIANGULO RECOSTE BEM - DUOFLEX 38X38X53CM **,4,94.0,94.0,IA: Produto de mobiliário
STANDAK TOP 10X1 L,4,,94,IA: Estrutura para exposição
BRAGURT VEGETAL SABOR IOGURTE NATURAL PO SOLUVEL PROBIOTICO,4,21.0,21.0,IA: Produto vegetal similar a iogurte
PALITO DE QUEIJO PEROLA MINEIRA 1 KG,4,19.0,19,IA: Palito de queijo é derivado do leite.
NANLAC COMF 1A3 F 800G,4,4.0,04,IA: Produto à base de leite.
CAIXINHA FLORES GATINHA CHIC (30UN),4,48.0,48,"IA: Produto embalado, similar a brinquedos"
CODORNA,4,2.0,02,IA: Aves são classificadas no Capítulo 02
FORMULA NINHO FASES1+ 800G X2 PRESP,4,4.0,1901,IA: Fórmula infantil se enquadra em preparações alimentares
FEMEA S COBERTURA - 221.500,4,4.0,04,IA: Produto lácteo
SOBREMESA KG-DA CASA,4,21.0,21.0,IA: Sobremesa é classificada em produtos alimentícios
DECORACAO OVO VASO DE FLORES COM CASCA DE OVO UNICA UN,4,69.0,69,IA: Decoração em forma de ovo
"NATURAL COLORS MEL +5,25-DP4752",4,32.0,04,CLIENTE: Mel natural está no capítulo 4
BEZERRA SINDI PO,4,1.0,01,IA: Bezerra é animal vivo
OSCILLOC 200K C/30,4,30.0,90,IA | OSCILLOSCOPE É INSTRUMENTO DE MEDIÇÃO
FEMEA S COBERTURA - 322.500,4,4.0,4,IA: Produto lácteo
BANDEJA PARA QUEIJO :,4,39.0,39.0,IA: Bandeja é artigo de mesa
EMBAUBA IMBAUBA BRANCA CECROPIA PACHYSTACHYA LOTE CPA001SN,4,6.0,06,IA: Produto vegetal (madeira)
POTE UNICOLOR 1.800 LEITE EM PO,4,39.0,04,CLIENTE: Produto derivado do leite.
H104 APARELHO PARA RESF. LEITE,4,84.0,84,IA: Aparentemente equipamento para refrigeração
NANLAC COMF 1A3 F 800G,4,4.0,04,IA: Produto à base de leite.
GALINHA ANGOLA C/ OVOS GDE.,4,1.0,04,IA: Aves e ovos são classificados no Capítulo 4
DBR REG GO/PN/CX CP BRR-DF 10 JI 312 NORTE,4,4.0,4,IA: Produto lácteo (BRR-DF)
PV THUYA AVICOLA 90 ML,4,30.0,04,CLIENTE: Produto avícola
"PELICULA PLASTICA PARA LEITE CAMBY PASTEURIZADO INTEGRAL HOMOGENEIZADO 1L 30,50 X 24,50 X 0,0070  PE",4,39.0,39,IA: Filme plástico para embalagem
A ARTE DE MEL BROOKS,4,49.0,49,IA: Livro pertence à categoria 49
"ETIQ PVC 150X120,65MM 307906 IOGURTE GREGO FLOCOS 450G ITAMBE - V.0",4,39.0,39,IA: Etiqueta PVC é produto plástico
NINHO 3 PECAS YOYO BABY,4,94.0,94.0,IA: Produto é um brinquedo.
ETIQ BOPP 56X99MM 471132 IOGURTE BATAVO PEDACOS DUO 10X MAIS MARACUJA E PESSEGO 100GR ETQ061 - V02,4,39.0,4,CLIENTE: Etiqueta para produto do capítulo 4
CLICHÊ VÓ ERMÍNIA CX 10,4,84.0,84,IA: Clichê é ferramenta para impressão.
"CEPA PADRAO, TIPO STAPHILOCOCCUS AUREUS, CARACTERISTICAS ADICIONAIS ATCC 25923 - LOTE 27665 VALIDADE 09/03/22 - NEWPROV",4,30.0,30,IA: Produto biológico para uso em laboratório
POTE P/LEITE EM PO LUNIS PEQUENINOS C/1,4,39.0,39,IA: Pote é artigo de plástico
VACA PO REGISTRADA,4,4.0,01,IA: Animal vivo
ST830IPRO TRTD? 200K 1 ST,4,,4,CLIENTE: Produto alimentício
1225057 CALCADOS ENERGY BABY 2.0 TECIDO IOGURTE/MULTICOLOR 18,4,64.0,64,IA: Calçados são classificados no Capítulo 64
FILME LAM TAMPA QUEIJO MUSSARELA FATIADO 150G - IMBAUBA (103951) L:491876,4,39.0,03,IA | Filme plástico para embalagem
